Title,Price,ISBN-10,Author,Format,Pages,Publisher,Language,Weight,Dimensions,Case pack,Availability
Less Than Zero,5.99,60001267,"Stuart J. Murphy, Frank Remkiewicz",Paperback,40,"HarperCollins (August 14, 2003)",English,5.68oz,"10"" x 8""",100,InStock
Women and Autoimmune Disease (The Mysterious Ways Your Body Betrays Itself),16.99,60081503,Robert G. Lahita,Paperback,304,"HarperCollins (July 5, 2005)",English,12.8oz,"6"" x 9"" x 0.76""",28,InStock
In The Garden Of The North American Martyrs (Stories),13.95,880014970,Tobias Wolff,Paperback,192,"HarperCollins (May 11, 2004)",English,6.4oz,"5.5"" x 8.25"" x 0.48""",56,InStock
Amelia Bedelia's Family Album,4.99,60511168,"Peggy Parish, Lynn Sweat",Paperback,48,"HarperCollins (February 18, 2003)",English,3.84oz,"6"" x 9"" x 0.19""",92,InStock
De la cabeza a los pies (From Head to Toe (Spanish edition)),8.99,60513136,"Eric Carle, Eric Carle",Paperback,32,"HarperCollins (January 9, 2007)",Spanish,6.4oz,"9"" x 12"" x 0.07""",80,InStock
Molly Moon's Incredible Book of Hypnotism,7.99,60514094,Georgia Byng,Paperback,384,"HarperCollins (April 13, 2004)",English,8.86oz,"5.12"" x 7.62"" x 0.77""",48,InStock
Walk This Way (The Autobiography of Aerosmith),16.99,60515805,"Aerosmith, Stephen Davis",Paperback,528,"HarperCollins (February 18, 2003)",English,15.68oz,"5.31"" x 8"" x 1.2""",36,InStock
Truesight,10.99,60522879,David Stahler,Paperback,256,"HarperCollins (December 28, 2004)",English,5.28oz,"4.19"" x 6.75"" x 0.58""",60,InStock
Living On Luck,18.99,876859813,Charles Bukowski,Paperback,304,"HarperCollins (May 30, 2002)",English,11.84oz,"6"" x 9"" x 0.76""",40,InStock
Hell at the Breech (A Novel),15.99,60566760,Tom Franklin,Paperback,368,"HarperCollins (December 16, 2003)",English,11.12oz,"5.31"" x 8"" x 0.83""",52,InStock
Hamster Champs,6.99,60557737,"Stuart J. Murphy, Pedro Martin",Paperback,40,"HarperCollins (August 23, 2005)",English,16oz,"10"" x 8""",100,InStock
Neverwhere (A Novel),15.99,60557818,Neil Gaiman,Paperback,400,"HarperCollins (September 2, 2003)",English,9.92oz,"5.3125"" x 8"" x 0.9009""",44,InStock
A Year with C. S. Lewis (Daily Readings from His Classic Works),24.99,60566167,C. S. Lewis,Hardcover,416,"HarperCollins (October 21, 2003)",English,14.66oz,"5.5"" x 7.38"" x 1.29""",14,InStock
Kenny's Window,11.95,64432092,"Maurice Sendak, Maurice Sendak",Paperback,64,"HarperCollins (February 17, 2004)",English,6.4oz,,80,InStock
The Frog and Toad Collection Box Set (Includes 3 Favorite Frog and Toad Stories!),14.99,60580860,"Arnold Lobel, Arnold Lobel",Paperback,192,"HarperCollins (May 25, 2004)",English,14.34oz,"6"" x 9""",23,InStock
The Duke And I,7.99,380800829,Julia Quinn,Paperback,384,"HarperCollins (June 27, 2006)",English,6.56oz,,48,InStock
I Stink! Board Book,7.99,60745924,"Kate McMullan, Jim McMullan",Board Book,34,"HarperCollins (April 5, 2005)",English,8.16oz,"5.88"" x 5""",60,InStock
Unlocking the Air (Stories),13.99,60928034,Ursula K. Le Guin,Paperback,224,"HarperCollins (March 15, 2005)",English,6.72oz,"5.3125"" x 8"" x 0.5045""",84,InStock
The Compass Rose (Stories),14.99,60914475,Ursula K. Le Guin,Paperback,384,"HarperCollins (March 15, 2005)",English,13.28oz,"5.3125"" x 8"" x 0.8649""",48,InStock
Molly's Pilgrim,3.99,688162800,Barbara Cohen,Paperback,32,"HarperCollins (April 26, 2005)",English,1.12oz,,100,InStock
Little Critter: Snowball Soup,4.99,60835435,"Mercer Mayer, Mercer Mayer",Paperback,32,"HarperCollins (September 25, 2007)",English,2.24oz,"6"" x 9"" x 0.12""",92,InStock
On Market Street 25th Anniversary Edition,7.99,688087450,"Arnold Lobel, Anita Lobel",Paperback,40,"HarperCollins (February 7, 2006)",English,5.6oz,,100,InStock
"Good Omens (The Nice and Accurate Prophecies of Agnes Nutter, Witch)",17.99,60853972,"Neil Gaiman, Terry Pratchett",Paperback,400,"HarperCollins (August 7, 2007)",English,9.6oz,"5.31"" x 8"" x 0.9""",48,InStock
The Light Fantastic (A Discworld Novel),15.99,60855886,Terry Pratchett,Paperback,272,"HarperCollins (September 13, 2005)",English,8.32oz,"5.31"" x 8"" x 0.61""",68,InStock
Seekers #2: Great Bear Lake,16.99,60871253,Erin Hunter,Hardcover,320,"HarperCollins (February 10, 2009)",English,13.84oz,"5.5"" x 8.25"" x 1.05""",28,InStock
"Perfect Spy (The Incredible Double Life of Pham Xuan An, Time Magazine Reporter and Vietnamese Communist Agent)",16.99,60888393,Larry Berman,Paperback,336,"HarperCollins (May 13, 2008)",English,9.6oz,"5.31"" x 8"" x 0.76""",52,InStock
"Little, Big",19.99,61120057,John Crowley,Paperback,576,"HarperCollins (October 17, 2006)",English,20.56oz,"6"" x 9"" x 0.92""",28,InStock
Promise Not to Tell (A Novel),13.99,61143316,Jennifer McMahon,Paperback,256,"HarperCollins (April 10, 2007)",English,6.72oz,"5.31"" x 8"" x 0.58""",68,InStock
Mac and Cheese,4.99,006117081X,"Sarah Weeks, Jane Manning",Paperback,32,"HarperCollins (October 12, 2010)",English,2.32oz,"6"" x 9"" x 0.12""",92,InStock
Stardust,7.99,380804557,Neil Gaiman,Paperback,352,"HarperCollins (July 31, 2007)",English,5.92oz,"4.1875"" x 6.75"" x 0.8949""",48,InStock
Collins Latin Concise Dictionary,17.99,006053690X,HarperCollins Publishers,Paperback,600,"HarperCollins (February 7, 2006)",English,19.2oz,"5.125"" x 7.25""",28,InStock
Johnny Hangtime,5.99,380810123,Dan Gutman,Paperback,144,"HarperCollins (January 2, 2008)",English,3.68oz,"5.125"" x 7.625"" x 0.288""",120,InStock
Tales of the City (A Novel),15.99,61358304,Armistead Maupin,Paperback,400,"HarperCollins (May 29, 2007)",English,9.92oz,"5.31"" x 8"" x 0.9""",48,InStock
Flat Stanley's Worldwide Adventures #1: The Mount Rushmore Calamity,4.99,61429902,"Jeff Brown, Macky Pamintuan",Paperback,96,"HarperCollins (April 21, 2009)",English,2.56oz,"5.12"" x 7.62"" x 0.48""",208,InStock
Flat Stanley's Worldwide Adventures #2: The Great Egyptian Grave Robbery,4.99,61429929,"Jeff Brown, Macky Pamintuan",Paperback,96,"HarperCollins (April 21, 2009)",English,2.56oz,"5.12"" x 7.62"" x 0.48""",100,InStock
Flat Stanley's Worldwide Adventures #6: The African Safari Discovery,15.99,61430013,"Jeff Brown, Macky Pamintuan",Hardcover,112,"HarperCollins (December 21, 2010)",English,8.4oz,"5.38"" x 8"" x 0.53""",40,InStock
How to Paint a Dead Man (A Novel),15.99,61430455,Sarah Hall,Paperback,320,"HarperCollins (September 8, 2009)",English,8.4oz,"5.31"" x 8"" x 0.72""",52,InStock
"Danny and the Dinosaur 3-Book Box Set (Danny and the Dinosaur; Happy Birthday, Danny and the Dinosaur!; Danny and the Dinosaur Go to Camp)",11.99,61430838,"Syd Hoff, Syd Hoff",Paperback,,"HarperCollins (October 7, 2008)",English,10.08oz,"6"" x 9""",30,InStock
The Cheese Monkeys (A Novel In Two Semesters),13.99,61452483,Chip Kidd,Paperback,320,"HarperCollins (January 8, 2008)",English,8.96oz,"5.12"" x 7.5"" x 0.72""",56,InStock
Evidence of the Afterlife (The Science of Near-Death Experiences),14.99,61452572,"Jeffrey Long, Paul Perry",Paperback,224,"HarperCollins (January 4, 2011)",English,5.94oz,"5.31"" x 8"" x 0.5""",60,InStock
Are You Smarter Than a Fifth Grader? (The Play-at-Home Companion Book to the Hit TV Show!),12.99,61473065,Michael Benson,Paperback,208,"HarperCollins (October 2, 2007)",English,6.4oz,"5.31"" x 8"" x 0.52""",80,InStock
Scared of Santa (Scenes of Terror in Toyland) (Miniature Edition),12.99,61490997,"Denise Joyce, Nancy Watkins",Paperback,288,"HarperCollins (October 14, 2008)",English,10.48oz,"4"" x 6""",54,InStock
The Pillars of the Earth,34.99,688046592,Ken Follett,Hardcover,973,"HarperCollins (December 18, 2007)",English,41.6oz,,12,InStock
Letting Go (Fifth Edition) (A Parents' Guide to Understanding the College Years),14.99,61665738,"Karen Levin Coburn, Madge Lawrence Treeger",Paperback,464,"HarperCollins (March 17, 2009)",English,11.84oz,"5.3125"" x 8"" x 1.0451""",44,InStock
Gideon (A Novel),14.99,61687375,Alex Gordon,Paperback,432,"HarperCollins (January 6, 2015)",English,11.52oz,"5.31"" x 8"" x 0.97""",48,InStock
Warriors Manga: Ravenpaw's Path #1: Shattered Peace,6.99,61688657,"Erin Hunter, James L. Barry",Paperback,112,"HarperCollins (November 24, 2009)",English,3.84oz,"5"" x 7.44"" x 0.34""",60,InStock
Don't Breathe a Word (A Novel),16.99,61689378,Jennifer McMahon,Paperback,464,"HarperCollins (May 17, 2011)",English,12.8oz,"5.31"" x 8"" x 0.74""",40,InStock
What Looks LIke Crazy On an Ordinary Day,14.99,61710385,Pearl Cleage,Paperback,256,"HarperCollins (January 27, 2009)",English,8oz,"5.31"" x 8"" x 0.58""",68,InStock
"The Dressmaker of Khair Khana (Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe)",17.99,61732478,Gayle Tzemach Lemmon,Paperback,304,"HarperCollins (March 20, 2012)",English,7.84oz,"5.31"" x 8"" x 0.68""",64,InStock
Silly Street: Selected Poems,4.99,61765287,"Jeff Foxworthy, Steve Bjorkman",Paperback,32,"HarperCollins (September 14, 2010)",English,3.84oz,"6"" x 9""",92,InStock
"The Hotel on Place Vendome (Life, Death, and Betrayal at the Hotel Ritz in Paris)",16.99,61791040,Tilar J. Mazzeo,Paperback,320,"HarperCollins (February 24, 2015)",English,8.16oz,"5.31"" x 8"" x 0.72""",60,InStock
C. S. Lewis Signature Classics (Boxed Set),69.99,60653027,C. S. Lewis,Paperback,,"HarperCollins (April 21, 2009)",English,37.28oz,,12,InStock
"To Sir Phillip, With Love",7.99,380820854,Julia Quinn,Paperback,384,"HarperCollins (August 25, 2009)",English,6.8oz,"4.1875"" x 6.75"" x 0.96""",48,InStock
Superman Classic: Superman versus Mongul,3.99,61885185,"Michael Teitelbaum, MADA Design, Inc.",Paperback,32,"HarperCollins (January 25, 2011)",English,2.24oz,"6"" x 9"" x 0.125""",92,InStock
The Price of Love and Other Stories,26.99,61885002,Peter Robinson,Paperback,618,"HarperCollins (September 29, 2009)",English,23.6oz,"6"" x 9"" x 1.24""",14,InStock
"The Food52 Cookbook, Volume 2 (Seasonal Recipes from Our Kitchens to Yours)",35,61887293,"Amanda Hesser, Merrill Stubbs",Hardcover,304,"HarperCollins (December 4, 2012)",English,36.8oz,"8"" x 9"" x 1.01""",16,InStock
Pete the Cat: Rocking in My School Shoes,18.99,61910244,"Eric Litwin, James Dean, Kimberly Dean",Hardcover,40,"HarperCollins (July 26, 2011)",English,14.4oz,"8.5"" x 11""",38,InStock
Pirate Latitudes,9.99,61929387,Michael Crichton,Paperback,416,"HarperCollins (September 28, 2010)",English,8.24oz,"4.19"" x 7.5"" x 0.94""",48,InStock
Pirate Latitudes (A Novel) - 9780061929403,27.99,61929409,Michael Crichton,Paperback,448,"HarperCollins (November 24, 2009)",English,17.04oz,"6"" x 9"" x 1.12""",20,InStock
"The Black Hand (The Bloody Rise and Redemption of ""Boxer"" Enriquez, a Mexican Mob Killer)",17.99,61944181,Chris Blatchford,Paperback,368,"HarperCollins (September 8, 2009)",English,13.6oz,"6"" x 9"" x 0.92""",32,InStock
Orphan Train (A Novel),24.99,006195070X,Christina Baker Kline,Hardcover,320,"HarperCollins (October 14, 2014)",English,16.8oz,"6"" x 9"" x 1.05""",32,InStock
Everything Goes: 123 Beep Beep Beep!: A Counting Book,8.99,61958123,"Brian Biggs, Brian Biggs",Board Book,24,"HarperCollins (December 26, 2012)",English,8.32oz,"6.5"" x 6.5""",64,InStock
Be Love Now (The Path of the Heart),16.99,61961388,"Ram Dass, Rameshwar Das",Paperback,336,"HarperCollins (November 8, 2011)",English,11.2oz,"6"" x 8"" x 0.84""",24,InStock
The Thyroid Diet Revolution (Manage Your Master Gland of Metabolism for Lasting Weight Loss),17.99,61987476,Mary J. Shomon,Paperback,512,"HarperCollins (January 3, 2012)",English,14.56oz,"5.31"" x 8"" x 0.82""",40,InStock
"Collins French Concise, 5th Edition",17.99,006199863X,HarperCollins Publishers Ltd.,Paperback,1152,"HarperCollins (June 15, 2010)",English,32oz,"5.125"" x 7.75"" x 1.8403""",12,InStock
Bad Boy (An Inspector Banks Novel),25.99,62002155,Peter Robinson,Paperback,588,"HarperCollins (August 24, 2010)",English,22.72oz,"6"" x 9"" x 1.34""",10,InStock
13 Little Blue Envelopes,9.99,60541431,Maureen Johnson,Paperback,368,"HarperCollins (December 21, 2010)",English,9.92oz,"5.3125"" x 8"" x 0.8288""",48,InStock
Insurgent,12.99,62024051,Veronica Roth,Paperback,592,"HarperCollins (January 20, 2015)",English,15.58oz,"5.31"" x 8"" x 1.33""",32,InStock
Leaving Everything Most Loved (A Maisie Dobbs Novel),15.99,62049615,Jacqueline Winspear,Paperback,368,"HarperCollins (April 8, 2014)",English,9.76oz,"5.31"" x 8"" x 0.83""",52,InStock
What's Your Number? (A Novel),14.99,006206262X,Karyn Bosnak,Paperback,368,"HarperCollins (September 6, 2011)",English,9.84oz,"5.31"" x 8"" x 0.83""",52,InStock
"The MELT Method (A Breakthrough Self-Treatment System to Eliminate Chronic Pain, Erase the Signs of Aging, and Feel Fantastic in Just 10 Minutes a Day!)",25.99,62065351,Sue Hitzmann,Hardcover,304,"HarperCollins (January 22, 2013)",English,23.68oz,"7.38"" x 9.25"" x 1.09""",24,InStock
The Body in the Library (A Miss Marple Mystery),15.99,62073613,Agatha Christie,Paperback,224,"HarperCollins (April 12, 2011)",English,5.76oz,"5.31"" x 8"" x 0.5""",88,InStock
Mrs. McGinty's Dead (A Hercule Poirot Mystery),15.99,62074083,Agatha Christie,Paperback,272,"HarperCollins (October 25, 2011)",English,7.36oz,"5.31"" x 8"" x 0.61""",80,InStock
Clean Gut (The Breakthrough Plan for Eliminating the Root Cause of Disease and Revolutionizing Your Health),16.99,006207587X,Alejandro Junger,Paperback,256,"HarperCollins (December 30, 2014)",English,7.04oz,"5.31"" x 8"" x 0.58""",64,InStock
The Illustrated Man,16.99,62079972,Ray Bradbury,Paperback,288,"HarperCollins (October 11, 2011)",English,7.76oz,"5.31"" x 8"" x 0.65""",64,InStock
The Graveyard Book (A Novel),16.99,62081551,"Neil Gaiman, Dave McKean",Paperback,320,"HarperCollins (September 27, 2011)",English,8oz,"5.31"" x 8"" x 0.72""",56,InStock
"Fancy Nancy: Nancy Clancy, Super Sleuth",9.99,62082930,"Jane O'Connor, Robin Preiss Glasser",Hardcover,128,"HarperCollins (April 3, 2012)",English,8.32oz,"5.38"" x 8"" x 0.61""",36,InStock
"Fancy Nancy: Nancy Clancy, Secret of the Silver Key",9.99,006208299X,"Jane O'Connor, Robin Preiss Glasser",Hardcover,128,"HarperCollins (May 6, 2014)",English,8.64oz,"5.38"" x 8"" x 0.61""",36,InStock
Dixie and the Best Day Ever,4.99,62086596,"Grace Gilman, Jacqueline Rogers",Paperback,32,"HarperCollins (October 7, 2014)",English,2.62oz,"6"" x 9"" x 0.12""",92,InStock
Amelia Bedelia Chapter Book #1: Amelia Bedelia Means Business,5.99,62094963,"Herman Parish, Lynne Avril",Paperback,160,"HarperCollins (January 29, 2013)",English,3.9oz,"5.12"" x 7.62"" x 0.32""",108,InStock
Amelia Bedelia Chapter Book #4: Amelia Bedelia Goes Wild!,5.99,62095064,"Herman Parish, Lynne Avril",Paperback,160,"HarperCollins (March 25, 2014)",English,3.84oz,"5.12"" x 7.62"" x 0.32""",96,InStock
The School for Good and Evil #2: A World without Princes,17.99,62104926,"Soman Chainani, Iacopo Bruno",Hardcover,448,"HarperCollins (April 15, 2014)",English,18.88oz,"5.5"" x 8.25"" x 1.37""",28,InStock
The Wapshot Chronicle,14.99,60528877,John Cheever,Paperback,368,"HarperCollins (June 3, 2003)",English,9.68oz,"5.3125"" x 8"" x 0.8288""",52,InStock
The Wapshot Scandal,14.99,60528885,John Cheever,Paperback,320,"HarperCollins (August 23, 2011)",English,8oz,"5.3125"" x 8"" x 0.7207""",52,InStock
Before the Poison (A Novel) - 9780062107039,26.99,62107038,Peter Robinson,Paperback,608,"HarperCollins (February 21, 2012)",English,22.43oz,"6"" x 9"" x 1.22""",20,InStock
Pete the Cat and His Four Groovy Buttons,18.99,62110586,"Eric Litwin, James Dean, Kimberly Dean",Hardcover,40,"HarperCollins (May 1, 2012)",English,14.05oz,"8.5"" x 11""",44,InStock
"American Spartan (The Promise, the Mission, and the Betrayal of Special Forces Major Jim Gant)",16.99,62114999,Ann Scott Tyson,Paperback,400,"HarperCollins (March 3, 2015)",English,10.56oz,"5.31"" x 8"" x 0.9""",48,InStock
Splat the Cat and the Pumpkin-Picking Plan (Includes More Than 30 Stickers!),4.99,62115863,"Rob Scotton, Rob Scotton",Paperback,24,"HarperCollins (July 22, 2014)",English,3.18oz,"8"" x 8""",100,InStock
"Search Inside Yourself (The Unexpected Path to Achieving Success, Happiness (and World Peace))",16.99,62116932,"Chade-Meng Tan, Daniel Goleman, Jon Kabat-Zinn",Paperback,288,"HarperCollins (September 2, 2014)",English,11.07oz,"6"" x 9"" x 0.72""",48,InStock
Becoming Richard Pryor,27.99,62123300,Scott Saul,Hardcover,608,"HarperCollins (December 9, 2014)",English,26.88oz,"6"" x 9"" x 1.47""",20,InStock
Jinx's Magic,16.99,62129937,Sage Blackwood,Hardcover,400,"HarperCollins (January 7, 2014)",English,15.84oz,"5.5"" x 8.25"" x 1.25""",32,InStock
Flat Stanley and the Very Big Cookie,4.99,62189786,"Jeff Brown, Macky Pamintuan",Paperback,32,"HarperCollins (January 27, 2015)",English,3.2oz,"6"" x 9"" x 0.12""",92,InStock
Collins Pocket Korean Dictionary (Miniature Edition),11.99,62191713,HarperCollins Publishers Ltd.,Paperback,448,"HarperCollins (November 27, 2012)",English,10.56oz,"4.125"" x 5.875""",42,InStock
Meet the Dullards,17.99,62198564,"Sara Pennypacker, Daniel Salmieri",Hardcover,32,"HarperCollins (March 24, 2015)",English,16oz,"10"" x 11""",36,InStock
Pete the Cat: Construction Destruction (Includes Over 30 Stickers!),4.99,62198610,"James Dean, James Dean, Kimberly Dean",Paperback,24,"HarperCollins (March 24, 2015)",English,3.2oz,"8"" x 8"" x 0.05""",100,InStock
Pete the Cat: Cavecat Pete,4.99,62198637,"James Dean, James Dean, Kimberly Dean",Paperback,24,"HarperCollins (January 20, 2015)",English,3.23oz,"8"" x 8"" x 0.05""",100,InStock
Epitaph (A Novel of the O.K. Corral),27.99,62198769,Mary Doria Russell,Hardcover,592,"HarperCollins (March 3, 2015)",English,25.6oz,"6"" x 9"" x 1.73""",20,InStock
The Book of Forgiving (The Fourfold Path for Healing Ourselves and Our World),25.99,62203568,"Desmond Tutu, Mpho Tutu",Hardcover,240,"HarperCollins (March 18, 2014)",English,11.52oz,"5.5"" x 8.25"" x 0.85""",44,InStock
Astoria (Astor and Jefferson's Lost Pacific Empire: A Tale of Ambition and Survival on the Early American Frontier),16.99,62218301,Peter Stark,Paperback,400,"HarperCollins (February 10, 2015)",English,11.39oz,"5.31"" x 8"" x 0.93""",48,InStock
Snuff (A Novel of Discworld),9.99,62218867,Terry Pratchett,Paperback,480,"HarperCollins (December 26, 2012)",English,9.36oz,"4.19"" x 7.5"" x 1.08""",48,InStock
Charlie the Ranch Dog: Where's the Bacon?,4.99,62219081,"Ree Drummond, Diane deGroat",Paperback,32,"HarperCollins (June 25, 2013)",English,2.32oz,"6"" x 9"" x 0.12""",92,InStock
Charlie the Ranch Dog: Charlie's Snow Day,4.99,62219111,"Ree Drummond, Diane deGroat",Paperback,32,"HarperCollins (October 8, 2013)",English,2.32oz,"6"" x 9"" x 0.12""",92,InStock
Charlie the Ranch Dog: Charlie's New Friend,4.99,62219146,"Ree Drummond, Diane deGroat",Paperback,32,"HarperCollins (January 7, 2014)",English,2.62oz,"6"" x 9"" x 0.12""",92,InStock
Charlie the Ranch Dog: Charlie Goes to the Doctor,4.99,62219170,"Ree Drummond, Diane deGroat",Paperback,32,"HarperCollins (June 17, 2014)",English,2.64oz,"6"" x 9"" x 0.12""",92,InStock
A Dangerous Place (A Maisie Dobbs Novel),26.99,62220551,Jacqueline Winspear,Hardcover,320,"HarperCollins (March 17, 2015)",English,18.24oz,"6"" x 9"" x 1.05""",28,InStock
Watching the Dark (An Inspector Banks Novel),25.99,62222910,Peter Robinson,Paperback,592,"HarperCollins (January 8, 2013)",English,23.36oz,"6"" x 9"" x 1.18""",24,InStock
Waiting to Be Heard (A Memoir) - 9780062223265,28.99,62223267,Amanda Knox,Paperback,608,"HarperCollins (April 30, 2013)",English,23.76oz,"6"" x 9"" x 1.27""",24,InStock
Tales from Both Sides of the Brain (A Life in Neuroscience),28.99,62228803,Michael S. Gazzaniga,Hardcover,448,"HarperCollins (February 3, 2015)",English,23.04oz,"6"" x 9"" x 1.37""",24,InStock
The Short and Fascinating Tale of Angelina Whitcombe,3.99,62230727,Sabrina Darby,Paperback,224,"HarperCollins (August 14, 2012)",English,3.92oz,"4.19"" x 6.75"" x 0.56""",48,InStock
